Wavelength (nm),Scan 1 Reflectance,Scan 2 Reflectance,Scan 3 Reflectance,Scan 4 Reflectance,Scan 5 Reflectance,Average Reflectance
1191.6548,0.51021313,0.50595911,0.50610978,0.51167709,0.50772875,0.50833757
1195.2428,0.50825905,0.50407742,0.50395000,0.50917696,0.50716053,0.50652479
1198.8265,0.50686546,0.50344424,0.50270123,0.50839756,0.50488407,0.50525851
1202.406,0.50480680,0.50138371,0.50068873,0.50701170,0.50308187,0.50339456
1205.9812,0.50309254,0.49960275,0.49864933,0.50471617,0.50182128,0.50157641
1209.552,0.50169367,0.49898701,0.49746907,0.50370354,0.50152097,0.50067485
1213.1187,0.50145738,0.49734144,0.49754130,0.50270212,0.49982883,0.49977422
1216.6809,0.50028752,0.49650936,0.49521490,0.50139101,0.49903985,0.49848853
1221.424,0.49813810,0.49462413,0.49372557,0.49981114,0.49608923,0.49647763
1224.9763,0.49864412,0.49412525,0.49416472,0.49916880,0.49656616,0.49653381
1228.5243,0.49710499,0.49339920,0.49320483,0.49805641,0.49553533,0.49546015
1232.068,0.49610792,0.49265966,0.49289476,0.49721787,0.49415051,0.49460614
1235.6073,0.49574518,0.49190831,0.49210384,0.49650036,0.49419538,0.49409061
1239.1425,0.49500316,0.49203370,0.49078229,0.49698459,0.49340881,0.49364251
1242.6733,0.49548278,0.49139666,0.48970022,0.49649301,0.49305481,0.49322550
1246.1998,0.49356036,0.49034436,0.48969470,0.49527978,0.49179123,0.49213408
1249.722,0.49330925,0.48979182,0.48906973,0.49403980,0.49137974,0.49151807
1253.24,0.49201273,0.48878751,0.48824308,0.49335644,0.49020117,0.49052019
1256.7537,0.49200294,0.48827701,0.48703066,0.49246435,0.48972205,0.48989940
1261.4318,0.49079856,0.48789412,0.48656412,0.49222021,0.48898771,0.48929294
1264.9354,0.48924743,0.48572221,0.48545055,0.49037827,0.48777860,0.48771541
1268.4348,0.48893674,0.48562599,0.48542715,0.49039711,0.48636706,0.48735081
1271.9298,0.48815420,0.48478719,0.48425351,0.48954109,0.48652114,0.48665143
1275.4207,0.48764918,0.48499060,0.48370352,0.48963103,0.48577583,0.48635003
1278.9071,0.48655313,0.48382526,0.48356065,0.48811407,0.48508442,0.48542751
1282.3893,0.48671373,0.48298292,0.48274063,0.48761527,0.48462588,0.48493569
1285.8671,0.48536955,0.48270237,0.48137315,0.48639990,0.48444665,0.48405833
1289.3407,0.48539504,0.48213549,0.48185259,0.48637437,0.48338617,0.48382873
1292.8099,0.48426575,0.48186896,0.48076863,0.48524097,0.48303181,0.48303522
1296.275,0.48393895,0.48133019,0.48086180,0.48584932,0.48310088,0.48301623
1300.8883,0.48378353,0.48072936,0.47976626,0.48445027,0.48159600,0.48206508
1304.3433,0.48264235,0.48029022,0.47891893,0.48428315,0.48175317,0.48157756
1307.794,0.48194545,0.47904139,0.47798540,0.48296412,0.48123637,0.48063454
1311.2404,0.48115245,0.47809717,0.47729515,0.48249091,0.47955261,0.47971766
1314.6825,0.48083643,0.47816656,0.47718335,0.48184294,0.47924439,0.47945473
1318.1204,0.47968325,0.47655384,0.47569947,0.48003673,0.47775484,0.47794563
1321.5538,0.47858163,0.47553615,0.47486224,0.47976604,0.47671377,0.47709197
1324.983,0.47743123,0.47466234,0.47385533,0.47882382,0.47608483,0.47617151
1328.4081,0.47650370,0.47361178,0.47232936,0.47754866,0.47532304,0.47506331
1331.8286,0.47630755,0.47283694,0.47195744,0.47719111,0.47495509,0.47464963
1335.245,0.47426070,0.47183885,0.47145979,0.47568483,0.47364472,0.47337778
1339.7935,0.47238634,0.47015075,0.46908435,0.47443927,0.47144174,0.47150049
1343.1998,0.47172664,0.46816340,0.46757358,0.47316196,0.47085545,0.47029620
1346.6019,0.47032203,0.46641290,0.46735095,0.47132099,0.46880874,0.46884312
1349.9996,0.46882165,0.46545600,0.46522413,0.47008277,0.46691916,0.46730074
1353.3931,0.46632908,0.46327284,0.46327421,0.46772053,0.46578095,0.46527552
1356.7822,0.46462310,0.46153113,0.46170699,0.46575326,0.46446902,0.46361670
1360.1671,0.46322283,0.45951917,0.46006734,0.46385036,0.46194452,0.46172084
1363.5477,0.46168115,0.45862005,0.45880810,0.46243334,0.45961386,0.46023130
1366.9241,0.45983628,0.45675310,0.45644340,0.46117277,0.45861951,0.45856501
1370.296,0.45843780,0.45471554,0.45528852,0.45982121,0.45751549,0.45715571
1373.6637,0.45659290,0.45422421,0.45388901,0.45797669,0.45599033,0.45573463
1378.1473,0.45570789,0.45282405,0.45223468,0.45704858,0.45466466,0.45449597
1381.505,0.45413894,0.45167394,0.45186364,0.45562859,0.45350510,0.45336204
1384.8584,0.45364305,0.44993405,0.44990018,0.45359228,0.45233101,0.45188011
1388.2075,0.45056640,0.44765572,0.44794255,0.45239046,0.44966916,0.44964486
1391.5524,0.44933888,0.44582995,0.44635347,0.45023878,0.44842488,0.44803719
1394.8928,0.44684354,0.44381449,0.44374220,0.44845307,0.44553891,0.44567844
1398.2291,0.44518795,0.44132883,0.44154897,0.44610547,0.44349485,0.44353322
1401.561,0.44160922,0.43870782,0.43856439,0.44240023,0.44038362,0.44033306
1404.8887,0.43796179,0.43565876,0.43527751,0.43914529,0.43703432,0.43701553
1408.212,0.43409097,0.43050443,0.43134220,0.43506575,0.43278508,0.43275769
1411.5311,0.42956816,0.42622004,0.42603375,0.43005547,0.42803600,0.42798268
1415.9498,0.42234808,0.41862690,0.41918955,0.42316109,0.42075658,0.42081644
1419.2589,0.41751877,0.41366266,0.41465117,0.41784443,0.41587891,0.41591119
1422.5636,0.41383717,0.40937831,0.41015609,0.41395697,0.41216044,0.41189780
1425.8641,0.40919410,0.40499867,0.40691540,0.40967435,0.40811100,0.40777870
1429.1603,0.40539795,0.40254092,0.40323464,0.40605130,0.40469270,0.40438350
1432.4521,0.40179784,0.39910570,0.39942728,0.40354118,0.40102351,0.40097910
1435.7397,0.39996195,0.39597689,0.39751669,0.39998501,0.39852163,0.39839244
1439.0231,0.39637912,0.39291543,0.39388786,0.39694134,0.39601770,0.39522829
1442.302,0.39443282,0.39107437,0.39241604,0.39591464,0.39405093,0.39357776
1445.5768,0.39211793,0.38896763,0.38995110,0.39380793,0.39187666,0.39134425
1448.8472,0.39026431,0.38688946,0.38852834,0.39153916,0.39023574,0.38949140
1453.201,0.38833965,0.38524953,0.38627479,0.38850123,0.38861418,0.38739587
1456.4614,0.38671098,0.38374289,0.38512094,0.38712209,0.38709488,0.38595835
1459.7175,0.38557499,0.38221645,0.38322732,0.38581336,0.38511550,0.38438952
1462.9694,0.38392934,0.38053572,0.38201279,0.38442507,0.38367283,0.38291515
1466.2169,0.38275146,0.37933935,0.38012042,0.38303354,0.38218592,0.38148614
1469.4601,0.38159606,0.37762984,0.37972767,0.38239887,0.38077147,0.38042478
1472.6991,0.38023054,0.37703477,0.37786288,0.38082394,0.37920268,0.37903096
1475.9337,0.37831672,0.37568485,0.37682137,0.37912956,0.37866236,0.37772297
